x,y,z,valid
-0.25,-0.2,0.09,True
-0.25,-0.2,0.12,True
-0.25,-0.2,0.15,True
-0.25,-0.2,0.18,True
-0.25,-0.2,0.21,True
-0.25,-0.2,0.24,True
-0.25,-0.2,0.27,True
-0.25,-0.2,0.3,True
-0.25,-0.2,0.33,False
-0.25,-0.2,0.36,False
-0.25,-0.2,0.39,False
-0.25,-0.2,0.42,False
-0.25,-0.2,0.45,False
-0.25,-0.2,0.48,False
-0.25,-0.17,-0.0,False
-0.25,-0.17,0.03,True
-0.25,-0.17,0.06,True
-0.25,-0.17,0.09,True
-0.25,-0.17,0.12,True
-0.25,-0.17,0.15,True
-0.25,-0.17,0.18,True
-0.25,-0.17,0.21,True
-0.25,-0.17,0.24,True
-0.25,-0.17,0.27,True
-0.25,-0.17,0.3,True
-0.25,-0.17,0.33,False
-0.25,-0.17,0.36,False
-0.25,-0.17,0.39,False
-0.25,-0.17,0.42,False
-0.25,-0.17,0.45,False
-0.25,-0.17,0.48,False
-0.25,-0.14,-0.0,False
-0.25,-0.14,0.03,True
-0.25,-0.14,0.06,True
-0.25,-0.14,0.09,True
-0.25,-0.14,0.12,True
-0.25,-0.14,0.15,True
-0.25,-0.14,0.18,True
-0.25,-0.14,0.21,True
-0.25,-0.14,0.24,True
-0.25,-0.14,0.27,True
-0.25,-0.14,0.3,True
-0.25,-0.14,0.33,False
-0.25,-0.14,0.36,False
-0.25,-0.14,0.39,False
-0.25,-0.14,0.42,False
-0.25,-0.14,0.45,False
-0.25,-0.14,0.48,False
-0.25,-0.11,-0.0,False
-0.25,-0.11,0.03,False
-0.25,-0.11,0.06,False
-0.25,-0.11,0.09,False
-0.25,-0.11,0.12,False
-0.25,-0.11,0.15,False
-0.25,-0.11,0.18,False
-0.25,-0.11,0.21,False
-0.25,-0.11,0.24,False
-0.25,-0.11,0.27,False
-0.25,-0.11,0.3,False
-0.25,-0.11,0.33,False
-0.25,-0.11,0.36,False
-0.25,-0.11,0.39,False
-0.25,-0.11,0.42,False
-0.25,-0.11,0.45,False
-0.25,-0.11,0.48,False
-0.25,-0.08,-0.0,False
-0.25,-0.08,0.03,False
-0.25,-0.08,0.06,False
-0.25,-0.08,0.09,False
